scenario,seed,agent,lcb,mu,up_lcb,viol
mock,0,4322268.321765412,4776413.769724126,4776413.769724126,2,0
mock,1,4457386.076894892,4847689.951880458,4847689.951880458,1,0
mock,2,3803245.7071941835,4025642.6384656597,4025642.6384656597,1,0
mock,3,4345999.888900835,4807232.952304135,4807232.952304135,3,0
mock,4,4429374.867279577,4826287.42621596,4890233.986179013,1,0
mock,5,4771633.530620326,5164132.201239359,5164132.201239359,1,0
mock,6,4325827.150326176,4779470.212287146,4779470.212287146,2,0
mock,7,4785271.777024608,5174077.280805243,5174077.280805243,1,0
mock,8,4770891.767601211,5159669.314602525,5159669.314602525,1,0
mock,9,2630918.1217190214,3013196.671557596,3013196.671557596,2,0
mock,10,4313450.79156423,4770282.672749827,4770282.672749827,2,0
mock,11,4224391.404000625,4224391.404000625,4224391.404000625,0,0
mock,12,4496041.880117235,4559988.440080288,4542259.170553996,1,0
mock,13,4218477.05804687,4337023.3266437985,4337023.3266437985,1,0
mock,14,4792091.661717333,5184648.831551016,5191600.404463678,1,0
random,0,188647.4198782646,188647.4198782646,188647.4198782646,0,0
random,1,852095.5114755147,852095.5114755147,852095.5114755147,0,0
random,2,5574540.8733246485,5846144.4259497505,5846144.4259497505,1,0
random,3,-80567.82861773792,-80567.82861773792,-117970.33020898775,0,0
random,4,-151598.55905422103,-151598.55905422103,-132194.45875000075,0,0
random,5,6330667.64430822,6341201.413359689,6341201.413359689,1,0
random,6,2086665.1592631685,2158273.7822591714,2161075.947706983,1,0
random,7,-287186.3868693026,-287186.3868693026,-287186.3868693026,0,0
random,8,312549.0022531913,294036.7164940338,279610.3115421444,1,0
random,9,-12872.523787644404,-6422.132209940319,-9003.731727615901,1,0
random,10,917062.1230940582,1052204.5941196186,1052204.5941196186,1,0
random,11,1562399.6978506942,1700552.3522199786,1700552.3522199786,1,0
random,12,86633.33650248083,86633.33650248083,75763.38988283044,0,0
random,13,1423161.0754755032,1423996.6798892762,1480263.1256909985,1,0
random,14,763173.49029163,767467.313778044,807533.4468502053,1,0
noise,0,3074603.1861504735,3512968.393859426,3512968.393859426,2,0
noise,1,4642688.888674074,4935712.942466563,5001993.1229955545,1,0
noise,2,3871821.518428743,4108806.767655004,4108806.767655004,1,0
noise,3,4546680.363969061,4991904.93960643,4991904.93960643,2,0
noise,4,4532761.126553921,4788127.408508559,4786954.11503721,1,0
noise,5,5056804.585931498,5393155.590778038,5393155.590778038,2,0
noise,6,4773271.318104023,5113145.503911341,5113145.503911341,1,0
noise,7,7161893.252489196,7506555.921595551,7506555.921595551,1,0
noise,8,6055322.4607500415,6412776.046362664,6412776.046362664,1,0
noise,9,4704280.156293822,4959222.86532199,4969870.591849092,1,0
noise,10,2505065.4547692263,2728876.6988920495,2728876.6988920495,2,0
noise,11,3074072.8375629056,3224548.143417428,3224548.143417428,1,0
noise,12,5208426.505342744,5207461.191658629,5175614.793073462,1,0
noise,13,2463116.116874609,2463116.116874609,2463116.116874609,0,0
noise,14,5666282.118858372,5930882.789263622,5930882.789263622,1,0
flip,0,3441726.872819691,3762777.2485854006,3762777.2485854006,1,0
flip,1,1725779.8728704108,1987676.6027612858,1933004.3312206282,1,0
flip,2,462973.3892242729,462973.3892242729,597719.880891879,0,0
flip,3,989175.7606103942,1218211.006478409,1218211.006478409,2,0
flip,4,561276.0601650772,561276.0601650772,561276.0601650772,0,0
flip,5,2910524.30997762,3127922.775027072,3127922.775027072,1,0
flip,6,1356679.8098869626,1486399.6778457798,1486399.6778457798,1,0
flip,7,2496660.7160072583,2496660.7160072583,2496660.7160072583,0,0
flip,8,3331232.5527218506,3442305.2069352376,3442074.4357320084,2,0
