scenario,seed,agent,lcb,mu,up_lcb,viol
flip,9,2670704.86101676,2906088.9256045483,2905139.660297811,1,0
flip,10,2068198.1718666125,2172796.945483417,2187291.3313138587,1,0
flip,11,2733642.9018125064,2916343.21163802,2916343.21163802,1,0
flip,12,2780022.1591245183,2860458.885120772,2826860.435193032,1,0
flip,13,2484937.83182398,2458411.78924032,2458411.78924032,3,0
flip,14,3885684.8668116555,4033997.832381436,4033997.832381436,1,0
shift,0,1504869.3831654526,1504869.3831654526,1640509.5760414505,0,0
shift,1,2191338.098246245,2437775.127157976,2437775.127157976,3,0
shift,2,1259854.0989102726,1227965.8217140965,1229275.9676213972,1,0
shift,3,3177562.159611688,3357992.7669167602,3350603.4897237592,1,0
shift,4,1157432.214596007,1157432.214596007,1170051.7809627834,0,0
shift,5,-56533.056061159165,-56533.056061159165,-56533.056061159165,0,0
shift,6,590614.0272845766,692002.8794306052,692002.8794306052,1,0
shift,7,381653.1562444301,381653.1562444301,454288.51874479675,0,0
shift,8,2180735.1053079255,2182729.0608226587,2182729.0608226587,1,0
shift,9,677421.3928059556,665862.2574098402,661603.0518702776,1,0
shift,10,3554861.550936736,3681673.8180397833,3775905.489057782,1,0
shift,11,1565670.632577233,1710778.829438692,1710778.829438692,1,0
shift,12,288354.40332349984,328611.8020840029,321102.2564904338,1,0
shift,13,769715.4758968125,864767.725529694,864767.725529694,1,0
shift,14,157197.9285664782,145629.92197791094,143375.66320006628,1,0
stingy,0,1135761.4016783535,1135761.4016783535,1135761.4016783535,0,0
stingy,1,1256332.2548132949,1256332.2548132949,1315257.8135980014,0,0
stingy,2,899642.7608701098,867674.9150024605,867674.9150024605,1,0
stingy,3,1391269.9311945934,1475219.5806108739,1475219.5806108739,2,0
stingy,4,633167.0488569505,692885.6402395235,692885.6402395235,1,0
stingy,5,155548.94707688474,155548.94707688474,155548.94707688474,0,0
stingy,6,835801.8264617781,873577.9456417526,873577.9456417526,1,0
stingy,7,384222.1898141136,384222.1898141136,434564.301201111,0,0
stingy,8,1249424.8092971498,1286831.2289826167,1286831.2289826167,1,0
stingy,9,718886.9038299934,706256.7561827443,706256.7561827443,2,0
stingy,10,1317309.8782051667,1387555.893348706,1387555.893348706,1,0
stingy,11,525988.8610005145,551070.1400243558,551070.1400243558,1,0
stingy,12,1228145.2054157406,1274645.9751138412,1274645.9751138412,1,0
stingy,13,460081.32528777834,460081.32528777834,535185.6359586704,0,0
stingy,14,374355.30111325043,380452.772167222,379218.754179398,1,0
unknown_rich,0,908239.5197384383,908239.5197384383,941375.5456884946,0,0
unknown_rich,1,993280.6365631729,993280.6365631729,1046442.1087476038,0,0
unknown_rich,2,659715.1252684813,625348.5488089657,625348.5488089657,1,0
unknown_rich,3,1185072.5189617453,1241661.2178694,1241661.2178694,2,0
unknown_rich,4,764750.0519575742,861333.8889502548,861333.8889502548,1,0
unknown_rich,5,110316.69218147208,110316.69218147208,110316.69218147208,0,0
unknown_rich,6,727401.7945828236,746271.6163536789,703761.7598454128,1,0
unknown_rich,7,760433.5812579258,760433.5812579258,850228.2473239639,0,0
unknown_rich,8,176915.4225170249,176915.4225170249,176915.4225170249,0,0
unknown_rich,9,273825.0029748521,262461.80646885803,260394.4603474664,1,0
unknown_rich,10,1590282.9459980645,1678846.8592251376,1678846.8592251376,2,0
unknown_rich,11,446737.52899234695,468641.9528623661,468641.9528623661,1,0
unknown_rich,12,1861696.252853409,1861696.252853409,1861696.252853409,0,0
unknown_rich,13,351781.9575904102,402882.0433407716,402882.0433407716,1,0
unknown_rich,14,1019560.7691053587,1048529.6796379867,1048490.7592576093,1,0
high_rich,0,6375028.02107035,6606349.790509826,6606349.790509826,1,0
high_rich,1,5472660.766282313,5472660.766282313,5472660.766282313,0,0
high_rich,2,3289066.453778007,3425883.6569368253,3425883.6569368253,1,0
high_rich,3,3835373.5135487993,4139965.462117792,4139965.462117792,3,0
high_rich,4,4069377.712162631,4069377.712162631,4069377.712162631,0,0
high_rich,5,4954532.339643434,5171443.961108077,5171443.961108077,1,0
high_rich,6,6425935.024295046,6651847.913197618,6651847.913197618,1,0
high_rich,7,5856689.746129601,5856689.746129601,5856689.746129601,0,0
high_rich,8,4454034.11136292,4728871.590561252,4728871.590561252,1,0
high_rich,9,4548832.451481424,4548832.451481424,4548832.451481424,0,0
high_rich,10,5390901.290182745,5395915.138706857,5395915.138706857,1,0
high_rich,11,3529331.7101240233,3647238.9097021073,3647238.9097021073,1,0
high_rich,12,5008684.292672639,5215527.219819121,5215527.219819121,1,0
high_rich,13,4431482.2992908135,4593527.931572475,4593527.931572475,1,0
high_rich,14,5570839.490460759,5619949.347132757,5619949.347132757,2,0
resample,0,4159793.4122622525,4561619.503079445,4561619.503079445,2,0
resample,1,4365692.090681001,4716414.682234112,4716414.682234112,1,0
resample,2,3937402.016884784,4252936.7942598,4252936.7942598,1,0
resample,3,4410279.572350733,4840698.565761359,4840698.565761359,2,0
resample,4,4496713.045224357,4837833.386636612,4938158.893629202,1,0
resample,5,4576450.051649699,4967006.530261141,4967006.530261141,1,0
resample,6,4467915.003690445,4940116.276016587,4940116.276016587,2,0
resample,7,5108842.897076712,5583242.943551371,5583242.943551371,1,0
resample,8,3995527.6414404726,4311496.134311463,4311496.134311463,1,0
resample,9,4689812.463849219,5002230.113714458,5007923.225693052,1,0
resample,10,4529768.478484558,5043946.617058078,5043946.617058078,2,0
resample,11,4285287.516508814,4563424.545837398,4563424.545837398,1,0
resample,12,4216339.522452308,4271674.603114702,4251392.18382713,1,0
resample,13,3832423.4225673615,3833820.071011533,3833820.071011533,1,0
resample,14,4689577.106230021,5084585.35368846,5084585.35368846,1,0
random_soft,0,939830.7211270345,967468.6523355944,967468.6523355944,1,0
random_soft,1,67333.73548994774,21788.02593764232,21788.02593764232,1,0
random_soft,2,831829.2233570112,808744.0727584005,810450.3552154356,1,0
random_soft,3,1052175.5816331818,1052451.0855038017,1055486.3051743407,1,0
random_soft,4,2690094.556307636,2789336.5276602907,2789336.5276602907,1,0
random_soft,5,5397904.3740283875,5418137.333325171,5418137.333325171,1,0
random_soft,6,6041467.877812406,6398224.842074055,6398224.842074055,2,0
random_soft,7,229408.42302622623,229408.42302622623,229408.42302622623,0,0
random_soft,8,3479050.4618062074,3642646.7069226266,3642646.7069226266,1,0
random_soft,9,821508.9354076216,957933.0614859425,959154.7030972098,1,0
random_soft,10,1688885.9309955682,1804352.7394949985,1820160.839679828,1,0
random_soft,11,94882.58494536483,94882.58494536483,95231.17573930265,0,0
random_soft,12,4838042.208051406,4997837.517049064,4997837.517049064,1,0
random_soft,13,847631.6032391075,912837.1591334761,912837.1591334761,1,0
random_soft,14,189100.50099912024,185655.00608480664,183555.95965220363,1,0
random_hard,0,1232003.54993983,1537343.2407962354,1537343.2407962354,1,0
random_hard,1,1579032.8936156014,1579032.8936156014,1650389.9335612347,0,0
random_hard,2,914143.4762758327,914143.4762758327,985430.362021449,0,0
random_hard,3,3778156.0246198457,3778156.0246198457,3770924.543263055,0,0
random_hard,4,-269259.50152683305,-269259.50152683305,-269259.50152683305,0,0
random_hard,5,-136349.65944941228,-136349.65944941228,-136349.65944941228,0,0
random_hard,6,1199860.597183529,1203588.613769787,1201292.9160094815,1,0
random_hard,7,1185143.714417078,1502781.8971331045,1502781.8971331045,1,0
random_hard,8,2665257.1262251935,2663082.0431420924,2681129.376255692,1,0
random_hard,9,224332.13032057293,225755.80101640942,216385.2951737534,1,0
random_hard,10,172561.8946109214,172561.8946109214,172561.8946109214,0,0
random_hard,11,150283.41270358503,150283.41270358503,150283.41270358503,0,0
random_hard,12,1444835.3288181531,1561049.966853302,1561049.966853302,2,0
random_hard,13,-84821.85100119028,-106818.06062006066,-106818.06062006066,1,0
random_hard,14,495009.7693131404,613491.81538014,613491.81538014,1,0
causal,0,850848.5301355897,850848.5301355897,850848.5301355897,0,0
causal,1,320381.7735662294,269313.7740828086,269313.7740828086,1,0
causal,2,1306139.9803903077,1248052.9980872476,1248052.9980872476,1,0
causal,3,1335675.618608798,1358275.5206243945,1358275.5206243945,1,0
causal,4,388661.9273343108,388661.9273343108,388661.9273343108,0,0
causal,5,1995645.2022791035,1995645.2022791035,2096158.966351658,0,0
causal,6,1663092.8198122883,1738820.5564331089,1738820.5564331089,1,0
causal,7,506133.40528314305,506133.40528314305,506133.40528314305,0,0
causal,8,1668858.550935301,1725101.3515166785,1725101.3515166785,1,0
causal,9,377900.36043182574,376642.6770531703,376642.6770531703,1,0
causal,10,1559160.77584005,1559160.77584005,1559160.77584005,0,0
causal,11,1426152.6499674,1426152.6499674,1426152.6499674,0,0
causal,12,1700316.8117184662,1700316.8117184662,1654598.583916516,0,0
causal,13,1080579.0579578294,1035722.9455640411,1035722.9455640411,2,0
causal,14,1823193.333855141,1832835.6986117028,1832835.6986117028,1,0
