RISK_K,world,net,loss_campaigns,campaigns
0.0,random-51,2952078.2333225072,0,6
0.0,random-52,474642.8171267803,3,6
0.0,random-53,1870297.4159967315,0,3
0.0,random-54,848856.8822871328,2,4
0.0,random-55,2040128.6772370823,0,3
0.0,random-56,926418.9814245271,1,4
0.0,random-57,662515.6659412496,2,5
0.0,random-58,270530.86945098167,1,7
0.0,random-59,2581082.6346569825,0,4
0.84,random-0,95589.54368288373,0,1
0.84,random-1,258336.2849195795,0,3
0.84,random-2,3788680.9067212013,0,4
0.84,random-3,-94945.05961261784,0,1
0.84,random-4,-9602.658862918117,1,2
0.84,random-5,6027818.960164918,0,5
0.84,random-6,1757932.6444145627,1,3
0.84,random-7,-206172.28099434735,0,0
0.84,random-8,105763.9834534867,2,4
0.84,random-9,-1442731.4279266791,2,4
0.84,random-10,809649.042526462,0,3
0.84,random-11,1697633.1890863008,0,3
0.84,random-12,112595.8100385099,0,3
0.84,random-13,1199161.8471632153,1,5
0.84,random-14,447632.3335698898,1,3
0.84,random-15,2272099.15305505,1,5
0.84,random-16,-52347.014366345735,1,3
0.84,random-17,1248517.5919654428,0,3
0.84,random-18,3005841.286963186,0,4
0.84,random-19,3137843.084920141,1,4
0.84,random-20,169425.71305168755,1,3
0.84,random-21,-265261.79538675497,1,3
0.84,random-22,462627.0876983087,0,3
0.84,random-23,657037.0860697783,1,4
0.84,random-24,582907.2000501207,0,3
0.84,random-25,300301.33432946133,0,3
0.84,random-26,308359.27790513204,1,3
0.84,random-27,-6150.905648117543,1,3
0.84,random-28,5253496.715337735,0,3
0.84,random-29,11781.77728454183,1,3
0.84,random-30,555759.3604741511,1,3
0.84,random-31,766718.1115711909,1,3
0.84,random-32,-1820.4596210220625,0,1
0.84,random-33,389278.8513174137,1,3
0.84,random-34,919249.668029621,2,4
0.84,random-35,32068.500052717267,1,3
0.84,random-36,3357937.178074722,0,5
0.84,random-37,104495.27051858735,0,3
0.84,random-38,532910.0030478473,0,3
0.84,random-39,1034996.4329584688,0,3
0.84,random-40,1262883.9551283512,0,2
0.84,random-41,906676.7449473925,1,4
0.84,random-42,937450.7132822573,0,4
0.84,random-43,191084.39167426608,1,2
0.84,random-44,1460651.5161420293,0,4
0.84,random-45,6579060.903729049,1,4
0.84,random-46,147185.62941521066,0,2
0.84,random-47,-542996.701782427,3,4
0.84,random-48,2762990.054616847,1,4
0.84,random-49,245065.66667029663,4,6
0.84,random-50,300696.854332243,0,3
0.84,random-51,2952078.2333225072,0,6
0.84,random-52,833545.9861056521,3,5
0.84,random-53,584615.3133144262,0,4
0.84,random-54,948950.955319334,3,5
0.84,random-55,2648395.530077072,0,4
0.84,random-56,1044258.3689373662,0,3
0.84,random-57,395005.9339686217,1,3
0.84,random-58,336722.47440554656,0,3
0.84,random-59,2165604.9190569054,1,5
1.0,random-0,95589.54368288373,0,1
1.0,random-1,258336.2849195795,0,3
1.0,random-2,3788680.9067212013,0,4
1.0,random-3,-94945.05961261784,0,1
1.0,random-4,47801.32694739183,0,1
1.0,random-5,6027818.960164918,0,5
1.0,random-6,1757932.6444145627,1,3
1.0,random-7,-206172.28099434735,0,0
1.0,random-8,82964.07252497804,2,3
1.0,random-9,-1504075.5263909905,2,3
1.0,random-10,809649.042526462,0,3
1.0,random-11,1697633.1890863008,0,3
1.0,random-12,112595.8100385099,0,3
1.0,random-13,1267832.537071859,0,5
1.0,random-14,447632.3335698898,1,3
1.0,random-15,2272099.15305505,1,5
1.0,random-16,-52347.014366345735,1,3
1.0,random-17,1248517.5919654428,0,3
1.0,random-18,3005841.286963186,0,4
1.0,random-19,3137843.084920141,1,4
1.0,random-20,169425.71305168755,1,3
1.0,random-21,-265261.79538675497,1,3
1.0,random-22,462627.0876983087,0,3
1.0,random-23,657037.0860697783,1,4
1.0,random-24,582907.2000501207,0,3
1.0,random-25,124999.92994387326,0,1
1.0,random-26,308359.27790513204,1,3
1.0,random-27,6126.131054167934,0,1
1.0,random-28,5253496.715337735,0,3
1.0,random-29,36261.21944069989,0,2
1.0,random-30,555759.3604741511,1,3
1.0,random-31,503738.3190589908,0,1
1.0,random-32,-1820.4596210220625,0,1
1.0,random-33,389278.8513174137,1,3
1.0,random-34,906896.7883166249,2,3
1.0,random-35,71167.18817058112,0,2
1.0,random-36,2718198.983901257,0,4
1.0,random-37,104495.27051858735,0,3
1.0,random-38,532910.0030478473,0,3
1.0,random-39,1023266.1239481182,0,2
1.0,random-40,1262883.9551283512,0,2
1.0,random-41,897515.4008358244,1,3
1.0,random-42,937450.7132822573,0,4
1.0,random-43,-12669.811919028056,1,1
1.0,random-44,1460651.5161420293,0,4
1.0,random-45,6332633.19415826,1,3
1.0,random-46,134216.30993066315,0,1
1.0,random-47,-462529.1772910063,2,3
1.0,random-48,1710571.9454462682,1,3
1.0,random-49,250025.27994157647,3,5
1.0,random-50,64550.56060961497,0,1
1.0,random-51,2934614.2872767095,0,5
1.0,random-52,841658.3491492936,2,4
1.0,random-53,584615.3133144262,0,4
1.0,random-54,949145.4908502476,2,4
1.0,random-55,2648395.530077072,0,4
1.0,random-56,1044258.3689373662,0,3
1.0,random-57,262813.49008225143,0,3
1.0,random-58,336722.47440554656,0,3
1.0,random-59,1968837.2344704296,2,7
