RISK_K,world,net,loss_campaigns,campaigns
0.0,random-0,123022.50669449318,1,4
0.0,random-1,365830.3076714474,1,6
0.0,random-2,3788680.9067212013,0,4
0.0,random-3,-234701.3287485715,3,4
0.0,random-4,219919.3517426905,2,4
0.0,random-5,6315852.456182443,0,4
0.0,random-6,1714865.4153702233,1,3
0.0,random-7,-383360.0395063777,2,4
0.0,random-8,140551.8033980687,0,3
0.0,random-9,-1467438.1211868895,1,3
0.0,random-10,872317.8728444148,1,4
0.0,random-11,1150773.8423323617,3,4
0.0,random-12,-111863.9751116907,1,5
0.0,random-13,858038.3702844701,1,3
0.0,random-14,27006.59730424131,2,3
0.0,random-15,2272099.15305505,1,5
0.0,random-16,12769.961889898957,3,6
0.0,random-17,1415524.942430243,0,3
0.0,random-18,2723230.8002860276,1,5
0.0,random-19,1487285.7088599505,1,4
0.0,random-20,-162295.20129805518,3,5
0.0,random-21,-1824699.6955643632,2,3
0.0,random-22,257530.1222997363,2,5
0.0,random-23,381862.5961041431,5,7
0.0,random-24,752702.3571804827,2,6
0.0,random-25,367645.30193975614,0,5
0.0,random-26,521556.79644093034,1,5
0.0,random-27,-1849.7249218069846,2,4
0.0,random-28,5173407.734850326,0,4
0.0,random-29,9612.679768221125,3,6
0.0,random-30,555759.3604741511,1,3
0.0,random-31,698606.4290114236,1,3
0.0,random-32,-126248.34786005416,2,4
0.0,random-33,467603.4700025427,1,4
0.0,random-34,923103.5905976171,3,7
0.0,random-35,32045.402973772696,2,4
0.0,random-36,3384726.7591443323,0,4
0.0,random-37,58795.3687036093,1,4
0.0,random-38,518905.37930684944,1,5
0.0,random-39,1032108.3809096566,1,4
0.0,random-40,1444722.7425378924,0,4
0.0,random-41,449163.64910807606,3,5
0.0,random-42,943354.2279949671,0,3
0.0,random-43,194731.0079834139,2,4
0.0,random-44,1354783.4492947017,0,5
0.0,random-45,6904935.090330566,1,5
0.0,random-46,364872.2651270722,0,6
0.0,random-47,-550021.9773741047,4,5
0.0,random-48,2762990.054616847,1,4
0.0,random-49,244194.7746592093,3,5
0.0,random-50,321601.21765660646,0,3
