current_tariff,arpu_segment,n_customers,arpu_sum,arpu_mean,arpu_median,zero_arpu,share_customers,share_arpu,history_switches
tariff_8,HIGH,4726,36988107.97242949,7826.514594250844,7597.68208682882,0,0.20161255919116078,0.24553798293141094,896.0
tariff_10,HIGH,2950,24190636.44091341,8200.215742682512,7939.791001856551,0,0.12584787338424128,0.16058458794259936,676.0
tariff_4,HIGH,2108,15794121.77170824,7492.467633637685,7254.4711136253045,0,0.08992790409965445,0.1048460441634101,488.0
tariff_8,MID,1720,8024489.894817886,4665.401101638306,4510.408125369489,0,0.07337570922742204,0.05326893347169109,770.0
tariff_11,HIGH,1633,14175708.002870273,8680.776486754607,8420.309202911372,0,0.06966426346998848,0.094102535664811,497.0
tariff_4,MID,1227,5840537.244104053,4760.014053874534,4758.480874357715,0,0.05234418326863188,0.03877121087734557,670.0
tariff_13,MID,1022,5000571.23814045,4892.926847495548,4776.473443689944,0,0.04359882257582868,0.03319526849637847,418.0
tariff_14,HIGH,963,7609558.492534343,7901.929898789556,7597.475971970088,0,0.04108186510814385,0.050514496298328666,69.0
tariff_14,MID,755,3686020.025355763,4882.14572894803,4916.78461702906,0,0.032208523527153275,0.024468889372369677,118.0
tariff_10,MID,645,3003700.1472749137,4656.899453139401,4602.5710566011385,0,0.027515890960283264,0.019939448539579397,361.0
tariff_12,HIGH,567,5244797.051878841,9250.082983913298,8354.79253527905,0,0.0241883878674118,0.034816511565361766,365.0
tariff_13,HIGH,516,3712751.1737852106,7195.254212762036,6956.623905309438,0,0.02201271276822661,0.024646338629079407,86.0
tariff_11,MID,464,2059004.3405840572,4437.50935470702,4447.43596355997,0,0.01979437737297897,0.013668278815744526,252.0
tariff_8,LOW,457,1312258.1647560755,2871.4620672999463,2527.833134442839,18,0.019495755300541786,0.008711157194081215,130.0
tariff_11,LOW,387,1067637.79615389,2758.7539952296897,2410.3019887034197,22,0.01650953457616996,0.007087294953404033,69.0
tariff_10,LOW,370,972233.5682257855,2627.658292502123,2396.5721025496205,11,0.01578430954310823,0.006453973516523392,60.0
tariff_12,LOW,363,1017502.0543512055,2803.0359624000153,2507.053079859304,15,0.015485687470671047,0.006754479094745432,34.0
tariff_12,MID,342,1503059.9061305257,4394.912006229608,4497.340187891349,0,0.014589821253359498,0.009977755495129866,144.0
tariff_4,LOW,299,857563.179026669,2868.1042776811673,2623.1736395339985,10,0.012755428522673947,0.005692757612025167,92.0
tariff_13,LOW,251,756421.0833960543,3013.6298143269096,2690.9202963243683,1,0.010707734311676122,0.005021346515001547,43.0
tariff_14,LOW,231,721988.3024613425,3125.4904868456388,2673.45181418352,2,0.009854528390427029,0.0047927715475084755,53.0
tariff_5,HIGH,109,740120.0616143207,6790.0923083882635,6435.613446496722,0,0.004649972270807559,0.004913135518889194,101.0
tariff_5,MID,91,367820.61011102656,4041.9847264947975,4076.11,0,0.0038820869416833752,0.0024417018235856065,188.0
tariff_3,MID,87,353907.75615506346,4067.9052431616487,4301.559023837051,0,0.0037114457574335567,0.00234934419070228,447.0
tariff_15,MID,80,402182.2596318361,5027.278245397951,4598.954753384705,0,0.003412823684996374,0.0026698045997488144,1312.0
tariff_7,HIGH,72,519437.624644454,7214.411453395194,6859.948109632279,0,0.0030715413164967365,0.0034481803370140117,86.0
tariff_9,MID,67,281271.3997881733,4198.080593853333,4075.592288699292,0,0.002858239836184463,0.001867162608364861,233.0
tariff_3,LOW,56,160544.44723558158,2866.865129206814,2760.138621287536,7,0.002388976579497462,0.0010657414478849815,101.0
tariff_6,HIGH,53,341665.53809705016,6446.519586736796,5709.0,0,0.0022609956913100977,0.002268076732231258,52.0
tariff_7,MID,52,267570.6779826569,5145.589961204941,5076.722236793999,0,0.002218335395247643,0.001776213171336657,104.0
tariff_9,LOW,51,157453.03508879975,3087.3144135058774,2732.27238094149,0,0.0021756750991851885,0.0010452197411922176,120.0
tariff_5,LOW,44,132153.6839166647,3003.4928162878346,2752.085061698129,0,0.0018770530267480056,0.0008772751774716354,133.0
tariff_1,LOW,40,132219.59089506813,3305.4897723767035,3042.962902846197,2,0.001706411842498187,0.0008777126874559347,235.0
tariff_20,HIGH,38,287290.72291460045,7560.28218196317,7509.5223592764105,0,0.0016210912503732775,0.0019071206527227118,169.0
tariff_18,HIGH,35,286137.26082276856,8175.350309221959,7677.4262689230545,0,0.0014931103621859136,0.0018994636307515594,322.0
tariff_6,MID,34,135351.60083776538,3980.929436404864,3644.653333333333,0,0.001450450066123459,0.0008985038943060994,101.0
tariff_19,HIGH,33,259350.81354660032,7859.115562018192,7622.910024303451,0,0.0014077897700610043,0.001721647283968117,61.0
tariff_17,MID,32,166536.6493991783,5204.270293724322,5372.369467049524,0,0.0013651294739985495,0.0011055194552830208,278.0
tariff_1,MID,32,165169.06544740367,5161.533295231365,5006.404905495952,0,0.0013651294739985495,0.0010964410291775706,314.0
tariff_6,LOW,30,97039.60915588148,3234.6536385293825,3768.9465263027005,0,0.0012798088818736402,0.0006441775803819952,132.0
tariff_7,LOW,29,93486.11254736516,3223.6590533574195,3199.290190192068,5,0.0012371485858111856,0.0006205884205834169,70.0
tariff_17,HIGH,27,233018.89904674364,8630.329594323839,7066.533709234236,0,0.0011518279936862763,0.001546848259972716,194.0
tariff_3,HIGH,27,180049.65929309526,6668.505899744269,6735.013940148194,0,0.0011518279936862763,0.001195222805212618,137.0
tariff_19,MID,26,119249.02399881552,4586.500923031366,4054.9243447897775,0,0.0011091676976238214,0.0007916102343227092,76.0
tariff_2,MID,20,92193.04215266432,4609.652107633216,4590.929631383939,0,0.0008532059212490935,0.0006120046374729148,298.0
tariff_18,LOW,19,60062.980205548956,3161.2094845025767,2845.238203921639,0,0.0008105456251866388,0.0003987157985889019,52.0
tariff_19,LOW,14,40738.450382627256,2909.889313044804,2715.007277971714,0,0.0005972441448743655,0.00027043386328810495,49.0
tariff_15,LOW,14,43367.06010503618,3097.647150359727,3044.679972898965,0,0.0005972441448743655,0.0002878833508270533,78.0
tariff_15,HIGH,14,96923.36662092671,6923.097615780479,5592.831519137162,0,0.0005972441448743655,0.0006434059281097323,77.0
tariff_21,MID,13,57141.37776829388,4395.490597561068,4445.412762943604,0,0.0005545838488119107,0.00037932133889104924,0.0
tariff_18,MID,13,70016.13153131168,5385.85627163936,5842.083032068806,0,0.0005545838488119107,0.00046478775615322264,136.0
tariff_21,LOW,12,56342.329315095456,4695.194109591288,5120.032184623658,0,0.0005119235527494561,0.0003740170193078727,0.0
tariff_1,HIGH,11,82638.48170901385,7512.589246273987,6518.707217414075,0,0.0004692632566870014,0.0005485786438838707,71.0
tariff_16,MID,10,47207.16015030426,4720.716015030426,3650.1488112712304,0,0.00042660296062454675,0.00031337506886985677,193.0
tariff_2,LOW,9,23951.38715991484,2661.265239990538,2523.5256860124164,0,0.00038394266456209206,0.0001589963805674623,81.0
tariff_9,HIGH,9,52537.21275559647,5837.468083955163,5245.365409304369,0,0.00038394266456209206,0.00034875753197387044,31.0
tariff_17,LOW,8,23317.104493311017,2914.638061663877,3113.1653503108178,1,0.00034128236849963737,0.0001547858249293543,28.0
tariff_16,LOW,8,21006.127868354895,2625.765983544362,2448.205776327959,0,0.00034128236849963737,0.0001394448796851065,217.0
tariff_20,MID,7,40256.80953791291,5750.972791130415,6673.267215306629,0,0.00029862207243718273,0.00026723658913726996,67.0
tariff_2,HIGH,7,36800.23072418845,5257.175817741207,4949.585618522626,0,0.00029862207243718273,0.00024429079827935476,28.0
tariff_21,HIGH,5,40063.82816157731,8012.7656323154615,8507.609769043478,0,0.00021330148031227338,0.0002659555217757253,0.0
tariff_20,LOW,5,18274.493795633207,3654.8987591266414,3066.8389237359665,0,0.00021330148031227338,0.0001213114860867439,21.0
tariff_16,HIGH,2,8012.469158351882,4006.234579175941,4006.234579175941,0,8.532059212490934e-05,5.318913627342908e-05,15.0
