bucket,estimator,conv,rmse_pct,bias_pct,rmse_q,corr_q,sign_agree,cells
1-5,eb_mean,conv_raw,0.6109,0.1491,0.1217,0.6192,0.7085,49.2
1-5,eb_mean,conv_smooth,0.6109,0.1491,0.1194,0.6571,0.7085,49.2
1-5,eb_trim10,conv_raw,0.6042,0.1255,0.1203,0.6389,0.7112,49.2
1-5,eb_trim10,conv_smooth,0.6042,0.1255,0.1181,0.6683,0.7112,49.2
1-5,mean,conv_raw,0.792,-0.002,0.1234,0.5861,0.6718,49.2
1-5,mean,conv_smooth,0.792,-0.002,0.1223,0.5902,0.6718,49.2
1-5,median,conv_raw,0.9683,-0.0878,0.1388,0.5004,0.6527,49.2
1-5,median,conv_smooth,0.9683,-0.0878,0.1383,0.5061,0.6527,49.2
1-5,trim10,conv_raw,0.792,-0.002,0.1234,0.5861,0.6718,49.2
1-5,trim10,conv_smooth,0.792,-0.002,0.1223,0.5902,0.6718,49.2
1-5,trim20,conv_raw,0.8181,-0.0272,0.1256,0.5652,0.6721,49.2
1-5,trim20,conv_smooth,0.8181,-0.0272,0.1242,0.5731,0.6721,49.2
1-5,winsor,conv_raw,0.7715,-0.0232,0.1228,0.595,0.6787,49.2
1-5,winsor,conv_smooth,0.7715,-0.0232,0.1216,0.5994,0.6787,49.2
21+,eb_mean,conv_raw,0.1491,-0.0014,0.0539,0.925,0.8627,70.76
21+,eb_mean,conv_smooth,0.1491,-0.0014,0.0538,0.9261,0.8627,70.76
21+,eb_trim10,conv_raw,0.161,-0.0369,0.0607,0.9153,0.8503,70.76
21+,eb_trim10,conv_smooth,0.161,-0.0369,0.0603,0.9169,0.8503,70.76
21+,mean,conv_raw,0.1559,0.0001,0.0554,0.924,0.8543,70.76
21+,mean,conv_smooth,0.1559,0.0001,0.0548,0.9248,0.8543,70.76
21+,median,conv_raw,0.2569,-0.0314,0.089,0.8642,0.8109,70.76
21+,median,conv_smooth,0.2569,-0.0314,0.0855,0.8667,0.8109,70.76
21+,trim10,conv_raw,0.1728,-0.0364,0.0618,0.9139,0.8178,70.76
21+,trim10,conv_smooth,0.1728,-0.0364,0.0609,0.9153,0.8178,70.76
21+,trim20,conv_raw,0.1953,-0.0418,0.0687,0.9008,0.8148,70.76
21+,trim20,conv_smooth,0.1953,-0.0418,0.0671,0.9027,0.8148,70.76
21+,winsor,conv_raw,0.1546,-0.0185,0.0553,0.9244,0.8452,70.76
21+,winsor,conv_smooth,0.1546,-0.0185,0.0549,0.9255,0.8452,70.76
6-20,eb_mean,conv_raw,0.4259,0.0217,0.1028,0.752,0.8123,129.64
6-20,eb_mean,conv_smooth,0.4259,0.0217,0.1008,0.7626,0.8123,129.64
6-20,eb_trim10,conv_raw,0.4287,-0.0067,0.1049,0.7458,0.8009,129.64
6-20,eb_trim10,conv_smooth,0.4287,-0.0067,0.1025,0.7542,0.8009,129.64
6-20,mean,conv_raw,0.4812,0.0035,0.1136,0.7191,0.7936,129.64
6-20,mean,conv_smooth,0.4812,0.0035,0.11,0.7244,0.7936,129.64
6-20,median,conv_raw,0.7338,-0.0769,0.1732,0.5998,0.747,129.64
6-20,median,conv_smooth,0.7338,-0.0769,0.1634,0.6085,0.747,129.64
6-20,trim10,conv_raw,0.4995,-0.0241,0.1185,0.7097,0.7863,129.64
6-20,trim10,conv_smooth,0.4995,-0.0241,0.1143,0.7144,0.7863,129.64
6-20,trim20,conv_raw,0.5611,-0.0528,0.132,0.684,0.7698,129.64
6-20,trim20,conv_smooth,0.5611,-0.0528,0.1261,0.6896,0.7698,129.64
6-20,winsor,conv_raw,0.4743,-0.0165,0.113,0.7233,0.7976,129.64
6-20,winsor,conv_smooth,0.4743,-0.0165,0.1094,0.7288,0.7976,129.64
all,eb_mean,conv_raw,0.2883,0.013,0.0753,0.7749,0.8062,249.6
all,eb_mean,conv_smooth,0.2883,0.013,0.0743,0.7863,0.8062,249.6
all,eb_trim10,conv_raw,0.293,-0.02,0.0793,0.7681,0.7973,249.6
all,eb_trim10,conv_smooth,0.293,-0.02,0.0781,0.7782,0.7973,249.6
all,mean,conv_raw,0.3347,0.001,0.0802,0.7527,0.7867,249.6
all,mean,conv_smooth,0.3347,0.001,0.0784,0.7589,0.7867,249.6
all,median,conv_raw,0.4876,-0.0461,0.1206,0.6526,0.7465,249.6
all,median,conv_smooth,0.4876,-0.0461,0.115,0.6618,0.7465,249.6
all,trim10,conv_raw,0.3472,-0.0312,0.0851,0.7434,0.7726,249.6
all,trim10,conv_smooth,0.3472,-0.0312,0.083,0.7497,0.7726,249.6
all,trim20,conv_raw,0.3815,-0.0437,0.0938,0.7213,0.7632,249.6
all,trim20,conv_smooth,0.3815,-0.0437,0.0906,0.7285,0.7632,249.6
all,winsor,conv_raw,0.3291,-0.0181,0.0799,0.7553,0.7875,249.6
all,winsor,conv_smooth,0.3291,-0.0181,0.0782,0.7621,0.7875,249.6
