scenario,seed,flag_1,mean_z_1,flag_2,mean_z_2,flag_3,mean_z_3,flag_4,mean_z_4,flag_5,mean_z_5,single_flag_any
mock,0,False,-0.07614260100788692,False,0.15963995381739238,False,-0.10475845732234945,False,0.00891804370977936,False,0.194093204377224,False
mock,1,False,0.8469601406024408,False,0.5876636066292731,False,0.6708252227565525,False,0.6106998171109657,False,0.6113348301013622,False
mock,2,False,-0.48148579425794225,False,-0.3976274119909997,False,0.23901895227043815,False,0.46204961265018124,False,0.5202654258618529,False
mock,3,True,-2.459271497196011,True,-1.0359515120380502,False,-0.8308082811179777,False,-0.6898034451483249,False,-0.59239420610604,True
mock,4,False,-0.23433324398937777,False,0.7151681217626242,False,-0.005390846240319824,False,-0.0036201391675840027,False,0.022922198899449325,False
mock,5,False,-1.2759136647710352,False,-0.7642774390414919,False,-0.1276622741945186,False,-0.06324802544688671,False,-0.20894323550131447,False
mock,6,False,1.7103570056987334,True,-0.3073003317456219,True,-0.5880022373389446,True,-0.4698241085252727,True,-0.10165853910146536,True
mock,7,False,0.22137936233017658,False,-0.10441679287229738,False,-0.18145266761288759,False,-0.38425867975081274,False,-0.04389364832031277,False
mock,8,False,-1.3244712694528702,False,-1.2545128405747463,False,-1.4771174119978312,False,-1.1459042455905246,False,-0.7368120852292686,False
mock,9,False,0.19810383204523382,False,-0.5863792413553871,False,-0.035659856909554234,False,-0.1326795839286296,False,-0.05780840606308989,False
mock,10,False,-0.6900773891836467,False,-0.7101454968248129,False,-0.5976924190851164,False,-0.40034824060332136,False,-0.14546155196454386,False
mock,11,False,1.28340627621967,False,1.2339100600923278,False,0.6556220363811388,False,0.3592423432028874,False,0.2761546990945307,False
mock,12,False,1.0537451122400756,False,0.9496197527096384,False,1.1196261262219362,False,0.5399753750715446,False,0.16381572886185994,False
mock,13,True,-3.070660748338598,True,-1.175307641399089,True,-0.381728258363684,True,-0.19532140393267192,True,-0.1547750341212655,True
mock,14,False,-0.998155556416843,False,-1.2065586307635539,False,-0.9085593122883818,False,-0.37434100386156377,False,-0.19323997659692946,False
resample,0,False,-0.08301248283035975,False,0.027907702755988403,False,-0.3211837496882934,False,-0.1253909614725236,False,0.0825631587529952,False
resample,1,False,0.7866901199326486,False,0.4111224497362382,False,0.6664462757015888,False,0.6055884746279921,False,0.5969841848868942,False
resample,2,False,-0.4690285700795063,False,-0.3809663380689252,False,0.23592583721853333,False,0.47240115043023967,False,0.4932110810359194,False
resample,3,True,-2.398896580328465,False,-0.9863463451271945,False,-0.8628456415273468,False,-0.7044030634891617,False,-0.6415830579507865,True
resample,4,False,-0.01970361010602587,False,0.5973144690406547,False,-0.13293698012555724,False,-0.11153635873555467,False,-0.06191038720319986,False
resample,5,False,-1.2682438497778379,False,-0.801892047751215,False,-0.18937490015766642,False,-0.1298182491791182,False,-0.2736181407801891,False
resample,6,False,1.7755784990673422,True,-0.41133962795345214,True,-0.6107183744492816,True,-0.48285308120704884,True,-0.10573158603872349,True
resample,7,False,0.2977125648040851,False,0.29066363673970597,False,0.051041187681747445,False,-0.20646793792764423,False,0.0823923846755854,False
resample,8,False,-1.5263988091666525,False,-1.6709879357277264,True,-1.7225589176860145,False,-1.3866335052482355,False,-0.9365613067305523,False
